i,area,seg,vect,wall_width,smbl_class,att,norm,att+norm,total
0,522736,1.2847251000000028,1.5217657999999687,6.427413599999966,0.7673644000000195,0.05471269999998185,0.004443400000013753,0.059156099999995604,10.060424999999952
1,319708,0.8374679999999444,0.6051089999999704,2.486590799999931,0.2309030999999777,0.010410299999989547,0.0025300999999444684,0.012940399999934016,4.173011299999757
2,514855,1.1472776000000522,1.2097390999999789,5.720786100000055,0.3592443000000003,0.01396100000010847,0.00273329999993166,0.01669430000004013,8.453741400000126
3,246202,0.6588087000000087,0.290315699999951,1.661336399999982,0.2163677999999436,0.006848699999977725,0.004275000000006912,0.011123699999984638,2.83795229999987
4,386856,0.8936439999999948,0.9901565999999775,2.8438693000000512,0.26533500000005006,0.01629800000000614,0.002265100000045095,0.018563100000051236,5.011568000000125
5,261072,0.7572463000000198,0.5533166000000165,1.996217799999954,0.3380000000000791,0.01918009999997139,0.002272099999913735,0.021452199999885124,3.6662328999999545
6,314265,0.7320021000000452,0.3239074000000528,1.3934147999999595,0.1783373999999185,0.010808099999962906,0.0016796999999542095,0.012487799999917115,2.640149499999893
7,321600,0.6735221999999794,1.7566187999999556,4.373267100000021,0.47502350000002025,0.04030149999994137,0.003232299999922361,0.04353379999986373,7.32196539999984
8,257076,0.6848448999999164,0.5469200999999657,1.6069808000000876,0.26134720000004563,0.020085999999992055,0.002354100000047765,0.02244010000003982,3.122533100000055
9,785180,1.574988400000052,2.222776500000009,8.321158399999945,0.4014481000000387,0.028454100000089966,0.0024861999999075124,0.030940299999997478,12.551311700000042
10,569067,1.3257850999999619,3.7780524999999443,8.771148299999936,0.2073877000000266,0.054914399999915986,0.003463000000010652,0.05837739999992664,14.140750999999796
11,562209,1.1604055000000244,0.7479728000000705,3.453057700000045,0.3113852000000179,0.008122299999968163,0.0019495999999890046,0.010071899999957168,5.682893100000115
12,497080,1.1613345000000663,0.5959915000000819,3.4099120000000767,0.18634190000000217,0.01817900000003192,0.003620099999920967,0.021799099999952887,5.37537900000018
13,455430,1.1076980000000276,1.0949176000000307,4.677008000000001,0.4537816000000703,0.03265369999996892,0.002656000000001768,0.03530969999997069,7.3687149000001
14,623865,1.3749721000000363,0.9165207999999438,5.062221900000054,0.25512509999998656,0.0077112000000170156,0.0023494000000710002,0.010060600000088016,7.618900500000109
15,458577,1.0794730999999729,0.8080502000000251,3.4204366000000164,0.2776023000000123,0.019108799999912662,0.0021784000000479864,0.02128719999996065,5.606849399999987
16,460191,1.0277165999999625,0.2834005999999363,1.4106549000000541,0.2304341999999906,0.0034266000000116037,0.0016777999999249005,0.005104399999936504,2.95731069999988
17,639999,1.325097000000028,1.2798504999999523,6.663380899999993,0.5993146000000706,0.04218120000007275,0.005873000000065076,0.048054200000137826,9.915697200000182
18,510119,1.2259112000000414,0.7592660000000251,2.104062899999917,0.1245642000000089,0.004050100000085877,0.0018200999999180567,0.005870200000003933,4.219674499999996
19,340416,0.785093599999982,0.3660991000000422,1.6049237999999377,0.20381620000000567,0.008114299999988361,0.0014379000000417363,0.009552200000030098,2.9694848999999977
20,140085,0.44342680000011114,0.4869013999999652,0.9583664000000454,0.026038299999981973,0.005598100000042905,0.0024744999999484207,0.008072599999991326,1.922805500000095
21,197446,0.4430684999999812,0.6988572000000204,1.3753409999999349,0.11952370000005885,0.017185699999913595,0.002143400000022666,0.01932909999993626,2.6561194999999316
22,356003,0.8144606999999269,0.5329411000000164,1.7170035999999982,0.14879999999993743,0.0044021999999586114,0.001516100000003462,0.005918299999962073,3.219123699999841
23,764100,1.7066118000000188,0.3718464999999469,3.227341900000056,0.0386370999999599,0.005243500000005952,0.0017411000000038257,0.006984600000009777,5.351421899999991
24,109482,0.44251439999993636,0.10144049999996696,0.23860100000001694,0.10948489999998401,0.002476900000033311,0.0011973000000580214,0.003674200000091332,0.8957149999999956
25,635076,1.1706609999999955,0.8583141000000296,5.210470099999952,0.3294382000000269,0.021280199999978322,0.001874899999961599,0.02315509999993992,7.592038499999944
26,512450,1.1654887999999346,0.7655029000000013,3.5423688999999285,0.2916404999999713,0.012896099999920807,0.0019540999999207997,0.014850199999841607,5.779851299999677
27,397256,1.092732799999908,1.1333257000000003,2.8367681999999377,0.09936549999997624,0.020892099999969105,0.002091199999995297,0.0229832999999644,5.1851754999997866
28,415650,0.9463597000000163,0.7040041999999858,2.4400024000000258,0.3239319000000478,0.01224739999997837,0.0056991999999809195,0.01794659999995929,4.432244800000035
29,353584,0.8361448999999084,0.6690935999999965,2.118336099999965,0.2538981000000149,0.01037179999991622,0.0019983999999340085,0.012370199999850229,3.889842899999735
30,754137,1.4654948000001013,0.8349332999999888,5.395623499999942,0.11058570000000145,0.010952600000109669,0.0017924999999650026,0.012745100000074672,7.819382400000109
31,1315879,4.526668299999983,1.8143211999999949,11.721488799999975,0.33648140000002513,0.030871700000034252,0.002413899999964997,0.03328559999999925,18.432245299999977
32,792110,2.0701603999999634,1.1867082999999639,6.370167199999969,0.5142282000000478,0.021410899999978028,0.0026190999999471387,0.024029999999925167,10.165294099999869
33,339945,0.963906300000076,0.3056782999999541,1.3511212999999316,0.2380826999999499,0.00933199999997214,0.0016375000000152795,0.01096949999998742,2.869758099999899
34,295360,0.8138347000000294,0.2469808999999259,0.7339629000000514,0.17272439999999278,0.003651699999977609,0.00129319999996369,0.004944899999941299,1.9724477999999408
35,1201746,2.883337200000028,1.8237073999999893,12.755084199999942,0.5014124000000493,0.039571499999965454,0.0026231000000507265,0.04219460000001618,18.005735800000025
36,169832,0.7505908999999065,0.9369468999999526,1.2697809999999663,0.03793880000000627,0.003967900000020563,0.0035508999999365187,0.007518799999957082,3.0027763999997887
37,439855,1.2722355999999309,0.5740897000000587,2.1089053000000604,0.2809143000000631,0.012405199999989236,0.002281799999991563,0.014686999999980799,4.250831900000094
38,375813,0.9967743999999357,0.8839674000000741,2.583780900000079,0.18039199999998345,0.016917100000000573,0.0019968000000289976,0.01891390000002957,4.663828600000102
39,768888,2.071580499999982,0.6917532999999594,5.208310299999994,0.17785240000000613,0.011917899999957626,0.0019485999999915293,0.013866499999949156,8.16336299999989
40,331730,1.1054417999999941,0.2983741000000464,1.1390998999999056,0.15889039999990473,0.0091855000000578,0.0015294999999468928,0.010715000000004693,2.7125211999998555
41,616468,1.4213060999999243,0.27255840000009357,1.833910899999978,0.1466822999999522,0.0042462999999770545,0.0012131000000863423,0.005459400000063397,3.6799171000000115
42,442856,1.2089598000000024,1.2389540000000352,3.717560399999911,0.48725740000008955,0.0378645000000688,0.0024998000000096,0.0403643000000784,6.693095900000117
43,1080400,2.7975261000000273,4.759239600000001,19.144579099999987,0.6245450000000119,0.13397589999999582,0.003805299999953604,0.13778119999994942,27.463670999999977
44,667888,1.7014756999999463,0.8416750999999749,4.383842000000072,0.2251461000000745,0.017731199999957425,0.0018271999999797117,0.019558399999937137,7.171697300000005
45,1052580,2.498611600000004,2.173652099999913,12.118468699999994,0.343010100000015,0.039677999999980784,0.0025836999999455657,0.04226169999992635,17.176004199999852
46,498600,1.4111422999999377,0.6059778000000051,3.163595500000042,0.3431745000000319,0.00878669999997328,0.0021549000000504748,0.010941600000023755,5.534831700000041
47,831402,2.1201681000000008,1.3701697000000195,8.315443000000073,0.23084989999995287,0.01427560000001904,0.002379499999960899,0.01665509999997994,12.053285800000026
48,317020,1.0075954000000138,0.8050892999999633,1.900654599999939,0.4309564000000137,0.021001000000069325,0.002077400000075613,0.02307840000014494,4.167374100000075
49,522170,1.4044825999999375,1.1044626999999991,4.370879599999967,0.3615538999999899,0.023449700000014673,0.0021315000000186046,0.025581200000033277,7.266959999999926
50,542681,1.4503938999999946,0.5318335000000616,3.4117231000000174,0.2662954999999556,0.010582500000055006,0.0019761999999445834,0.01255869999999959,5.672804700000029
